actors,awards,boxoffice,cntitle,country,doubanId,filetype,fileurl,genre,imdbid,movieid,omdbid,plot,poster,rating,runtime,source,timein,title,tmdbid,year
"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt",1 win & 14 nominations.,105219736.0,罗宾汉,"USA, UK",,,,"Action, Adventure, Drama, History",tt0955308,,,"In twelfth century England, Robin Longstride (Russell Crowe) and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",https://m.media-amazon.com/images/M/MV5BMTM5NzcwMzEwOF5BMl5BanBnXkFtZTcwNjg5MTgwMw@@._V1_SX300.jpg,6.6,140,,,Robin Hood,,2010
"Arnold Schwarzenegger, Francesca Neri, Elias Koteas, Cliff Curtis",,39965988.0,间接伤害,"USA, Mexico",,,,"Action, Drama, Thriller",tt0233469,,,"After his family is killed by a terrorist act, a firefighter goes in search of the one responsible.",https://m.media-amazon.com/images/M/MV5BYTIxYTA1YWUtODFiOS00NjY5LWIyOWQtYTFlYzMyNWI4MWM5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.5,108,,,Collateral Damage,,2002
"Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton",Won 4 Oscars. Another 8 wins & 11 nominations.,,斯巴达克斯,USA,,,,"Adventure, Biography, Drama, History, War",tt0054331,,,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,7.9,197,,,Spartacus,,1960
"Fionn Whitehead, Damien Bonnard, Aneurin Barnard, Lee Armstrong",Won 3 Oscars. Another 64 wins & 229 nominations.,188042176.0,敦刻尔克,"UK, Netherlands, France, USA",,,,"Action, Drama, History, Thriller, War",tt5013056,,,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",https://m.media-amazon.com/images/M/MV5BN2YyZjQ0NTEtNzU5MS00NGZkLTg0MTEtYzJmMWY3MWRhZjM2XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,7.9,106,,,Dunkirk,,2017
"Vincent Cassel, Ludivine Sagnier, Mathieu Amalric, Samuel Le Bihan",7 wins & 16 nominations.,,头号公敌Ⅱ,"France, Canada",,,,"Action, Biography, Crime, Drama, Thriller",tt0411272,,,"The story of the notorious French gangster Jacques Mesrine, with the focus on his life and death as France's Public Enemy No. 1 in the 1970s.",https://m.media-amazon.com/images/M/MV5BZGYyZTYwODMtZTJjMi00MGI3LTllNTgtMzY2NGJhZWYxMDY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,7.5,133,,,Mesrine Part 2,,2008
"Phyllis Applegate, Obba Babatundé, William Bassett, Troy Lindsey Brown",1 win & 4 nominations.,131862.0,黑色炸药,USA,,,,"Action, Comedy",tt1190536,,,"Black Dynamite is the greatest African-American action star of the 1970s. When his only brother is killed by The Man, it's up to him to find justice.",https://m.media-amazon.com/images/M/MV5BODMyM2JiYzMtODY3OS00ODExLTg0YzYtYWNlZTczMDUzY2I3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,7.4,84,,,Black Dynamite,,2009
"George Clooney, Mark Wahlberg, Ice Cube, Spike Jonze",8 wins & 19 nominations.,,夺金三王,USA,,,,"Action, Adventure, Comedy, Drama, War",tt0120188,,,"In the aftermath of the Persian Gulf War, four soldiers set out to steal gold that was stolen from Kuwait, but they discover people who desperately need their help.",https://m.media-amazon.com/images/M/MV5BZjQ5MzM1ZGItZDQyYi00ZDQ5LWJkMDQtYTIxZmIwNWQ5NmUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7.1,114,,,Three Kings,,1999
"Elodie Yung, Ryan Reynolds, Tsuwayuki Saotome, Roy Hill",1 win & 8 nominations.,75020040.0,王牌保镖,"USA, Hong Kong, Bulgaria, Netherlands, Canada, UK, France",,,,"Action, Comedy, Crime, Thriller",tt1959563,,,"The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.",https://m.media-amazon.com/images/M/MV5BMjQ5NjA2NDg1MV5BMl5BanBnXkFtZTgwMDAzNDc4MjI@._V1_SX300.jpg,6.9,118,,,The Hitman's Bodyguard,,2017
"Ben Affleck, Josh Hartnett, Kate Beckinsale, William Lee Scott",Won 1 Oscar. Another 13 wins & 51 nominations.,197761536.0,珍珠港,USA,,,,"Action, Drama, History, Romance, War",tt0213149,,,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,https://m.media-amazon.com/images/M/MV5BMTQ3MDc0MDc1NF5BMl5BanBnXkFtZTYwODI1ODY2._V1_SX300.jpg,6.2,183,,,Pearl Harbor,,2001
"Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu",1 win & 1 nomination.,,宝贝计划,India,,,,"Action, Thriller",tt3848892,,,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",https://m.media-amazon.com/images/M/MV5BYTdhNjBjZDctYTlkYy00ZGIxLWFjYTktODk5ZjNlMzI4NjI3XkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_SX300.jpg,8.0,159,,,Baby,,2015
"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo",1 win & 3 nominations.,,断箭,USA,,,,"Action, Adventure, Thriller",tt0115759,,,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,https://m.media-amazon.com/images/M/MV5BYzU2NDg3ZTItNzRmNy00NTQzLTljMDUtNjczOTMwZjEzNWVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.0,108,,,Broken Arrow,,1996
"Billy Bob Thornton, Lucas Black, Garrett Hedlund, Derek Luke",2 wins & 5 nominations.,60600000.0,周末午夜光明,"Germany, USA",,,,"Action, Drama, Sport",tt0390022,,,"Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers.",https://m.media-amazon.com/images/M/MV5BMTcxMDI5MTM4Ml5BMl5BanBnXkFtZTcwNjA4MDcyMQ@@._V1_SX300.jpg,7.2,118,,,Friday Night Lights,,2004
"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary",2 wins & 31 nominations.,262030656.0,超凡蜘蛛侠,USA,,,,"Action, Adventure, Sci-Fi",tt0948470,,,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",https://m.media-amazon.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_SX300.jpg,6.9,136,,,The Amazing Spider-Man,,2012
"Matt Damon, Franka Potente, Brian Cox, Julia Stiles",5 wins & 22 nominations.,176049136.0,谍影重重II：机密圈套,"USA, Germany",,,,"Action, Mystery, Thriller",tt0372183,,,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",https://m.media-amazon.com/images/M/MV5BYTIyMDFmMmItMWQzYy00MjBiLTg2M2UtM2JiNDRhOWE4NjBhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,7.7,108,,,The Bourne,,2004
"Peter Weller, Ariel Winter, David Selby, Wade Williams",5 nominations.,,蝙蝠侠黑暗骑士崛起,USA,,,,"Animation, Action, Adventure, Crime, Drama, Horror, Sci-Fi, Thriller",tt2313197,,,"Batman has not been seen for ten years. A new breed of criminal ravages Gotham City, forcing 55-year-old Bruce Wayne back into the cape and cowl. But, does he still have what it takes to fight crime in a new era?",https://m.media-amazon.com/images/M/MV5BMzIxMDkxNDM2M15BMl5BanBnXkFtZTcwMDA5ODY1OQ@@._V1_SX300.jpg,8.0,76,,,Batman,,2012
"Gerard Butler, Aaron Eckhart, Finley Jacobsen, Dylan McDermott",1 win & 5 nominations.,98600000.0,白宫陷落,USA,,,,"Action, Thriller",tt2302755,,,Secret Service agent Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack and works with national security to rescue the President from his kidnappers.,https://m.media-amazon.com/images/M/MV5BNTU0NmY4MWYtNzRlMS00MDkxLWJkODYtOTM3NGI2ZDc1NTJhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,6.5,119,,,Olympus Has Fallen,,2013
"Steve McQueen, Paul Newman, William Holden, Faye Dunaway",Won 3 Oscars. Another 9 wins & 13 nominations.,,摩天大楼失火记,USA,,,,"Action, Drama, Thriller",tt0072308,,,"At the opening party of a colossal, but poorly constructed, office building, a massive fire breaks out that threatens to destroy the tower and everyone in it.",https://m.media-amazon.com/images/M/MV5BMjA1N2JlMjItMTExZC00NTIxLWE2YTYtY2ZkM2M5OWM3M2YyXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,7.0,165,,,The Towering Inferno,,1974
"Jason Statham, Alessandro Gassmann, Amber Valletta, Kate Nauta",,,非常人贩2,"France, USA, Germany",,,,"Action, Thriller",tt0388482,,,"Transporter Frank Martin, surfaces in Miami, Florida and is implicated in the kidnapping of the young son of a powerful USA official.",https://m.media-amazon.com/images/M/MV5BMTQ5MDM0MTI2N15BMl5BanBnXkFtZTcwNTM5NDczMw@@._V1_SX300.jpg,6.3,87,,,Transporter,,2005
"Sylvester Stallone, Richard Crenna, Marc de Jonge, Kurtwood Smith",2 wins & 5 nominations.,,第一滴血3,USA,,,,"Action, Adventure",tt0095956,,,Rambo mounts a one-man mission to rescue his friend Colonel Trautman from the clutches of the formidable invading Soviet forces in Afghanistan.,https://m.media-amazon.com/images/M/MV5BZTQ4NjhkZWEtODY1MC00MzllLTkzNDYtZWVkMjNlNWRiOTdjXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_SX300.jpg,5.8,102,,,Rambo,,1988
"Tom Cruise, Cobie Smulders, Aldis Hodge, Danika Yarosh",1 win.,58676236.0,侠探杰克：永不回头,"China, USA",,,,"Action, Thriller",tt3393786,,,Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.,https://m.media-amazon.com/images/M/MV5BODQ3ODQ3NDI4NV5BMl5BanBnXkFtZTgwMDY1Mzk5OTE@._V1_SX300.jpg,6.1,118,,,Jack Reacher：Never Go Back,,2016
"Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu",8 wins & 34 nominations.,281500000.0,黑客帝国3,USA,,,,"Action, Sci-Fi",tt0234215,,,"Neo and his allies race against time before the machines discover the city of Zion and destroy it. While seeking the truth about the Matrix, Neo must save Trinity from a dark fate within his dreams.",https://m.media-amazon.com/images/M/MV5BODE0MzZhZTgtYzkwYi00YmI5LThlZWYtOWRmNWE5ODk0NzMxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,7.2,138,,,The Matrix,,2003
"Sean Connery, Catherine Zeta-Jones, Ving Rhames, Will Patton",4 wins & 6 nominations.,,偷天陷阱,"USA, UK, Germany",,,,"Action, Crime, Romance, Thriller",tt0137494,,,An insurance agent is sent by her employer to track down and help capture an art thief.,https://m.media-amazon.com/images/M/MV5BODgyMmE3YWQtNDE4Yy00ODExLThmNDUtYmM4ZTk2ZTVjNDEzL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,6.3,113,,,Entrapment,,1999
"Jesse Eisenberg, Woody Harrelson, Emma Stone, Abigail Breslin",10 wins & 28 nominations.,75590288.0,僵尸之地,USA,,,,"Adventure, Comedy, Fantasy, Sci-Fi",tt1156398,,,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",https://m.media-amazon.com/images/M/MV5BMTU5MDg0NTQ1N15BMl5BanBnXkFtZTcwMjA4Mjg3Mg@@._V1_SX300.jpg,7.6,88,,,Zombieland,,2009
"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson",1 win & 7 nominations.,126149656.0,藏身之所,"South Africa, Japan, USA",,,,"Action, Thriller",tt1599348,,,"A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge.",https://m.media-amazon.com/images/M/MV5BMjI5ODkyMjA2Nl5BMl5BanBnXkFtZTcwNTcyNTgzNw@@._V1_SX300.jpg,6.7,115,,,Safe House,,2012
"Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok",Won 1 BAFTA Film Award. Another 5 wins & 12 nominations.,186583552.0,后天,USA,,,,"Action, Adventure, Sci-Fi, Thriller",tt0319262,,,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.",https://m.media-amazon.com/images/M/MV5BMTY4YWMzMTMtZjUyOS00OGY1LTljMGUtOWU5ZjYzMjc2ZTMwXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_SX300.jpg,6.4,124,,,The Day After Tomorrow,,2004
"William Holden, Don Taylor, Otto Preminger, Robert Strauss",Won 1 Oscar. Another 1 win & 5 nominations.,,战地军魂,USA,,,,"Comedy, Drama, War",tt0046359,,,"When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.",https://m.media-amazon.com/images/M/MV5BNDMyNGU0NjUtNTIxMC00ZmU2LWE0ZGItZTdkNGVlODI2ZDcyL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,8.0,120,,,Stalag,,1953
"Nicolas Cage, Bridget Moynahan, Jared Leto, Shake Tukhmanyan",2 wins & 2 nominations.,24033036.0,战争之王,"USA, Germany, France",,,,"Action, Crime, Drama",tt0399295,,,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,https://m.media-amazon.com/images/M/MV5BMTYzZWE3MDAtZjZkMi00MzhlLTlhZDUtNmI2Zjg3OWVlZWI0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,7.6,122,,,Lord of War,,2005
"Paul Walker, Tyrese Gibson, Eva Mendes, Cole Hauser",4 wins & 13 nominations.,127083768.0,速度与激情2,"USA, Germany",,,,"Action, Crime, Thriller",tt0322259,,,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,https://m.media-amazon.com/images/M/MV5BMzExYjcyYWMtY2JkOC00NDUwLTg2OTgtMDI3MGY2OWQzMDE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.9,107,,,Fast 2 Furious,,2003
"Peter Franzén, Niko Saarela, Lauri Nurkse, Jasper Pääkkönen",7 wins & 5 nominations.,,绝地战警2,Finland,,,,"Action, Biography, Crime, Drama",tt0323551,,,Four well-mannered but poorly grown brothers drift into a life of crime when their schizophrenic father is sent to the mental hospital.,https://m.media-amazon.com/images/M/MV5BYzA3NGQ3NDMtNmU5NS00M2MwLWJmN2QtMWFhYzhkZmYzOTdmXkEyXkFqcGdeQXVyMzU4NjQ5Nzg@._V1_SX300.jpg,6.2,126,,,Bad Boys,,2003
"Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs",Nominated for 3 Oscars. Another 9 wins & 17 nominations.,2317507.0,爱国者,"USA, Germany",,,,"Action, Drama, History, War",tt0187393,,,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,https://m.media-amazon.com/images/M/MV5BMTkzMjE4ODU0MV5BMl5BanBnXkFtZTYwNTI2OTk2._V1_SX300.jpg,7.2,165,,,The Patriot,,2000
"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher",Nominated for 1 Oscar. Another 4 wins & 4 nominations.,,比弗利山警探,USA,,,,"Action, Comedy, Crime, Thriller",tt0086960,,,A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.,https://m.media-amazon.com/images/M/MV5BN2MyZDE0YjAtNWFjYy00MWRlLTk3MTktMzY3ZDVhNTJkZTlmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,7.3,105,,,Beverly Hills Cop,,1984
"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",Won 1 Oscar. Another 24 wins & 20 nominations.,4548170.0,星球大战5,USA,,,,"Action, Adventure, Fantasy, Sci-Fi",tt0080684,,,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,8.7,124,,,Star Wars,,1980
"Kôichi Yamadera, Emi Shinohara, Takeshi Aono, Osamu Saka",1 win.,,兽兵卫忍风帖,Japan,,,,"Animation, Action, Adventure, Fantasy, Thriller",tt0107692,,,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,https://m.media-amazon.com/images/M/MV5BOTMyZGI4N2YtMzdkNi00MDZmLTg4NmItMzg0ODY5NjdhZjYwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,7.9,94,,,Ninja Scroll,,1993
"Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose",4 wins & 6 nominations.,91970512.0,疾速特攻,"USA, Italy, Hong Kong, Canada",,,,"Action, Crime, Thriller",tt4425200,,,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",https://m.media-amazon.com/images/M/MV5BMjE2NDkxNTY2M15BMl5BanBnXkFtZTgwMDc2NzE0MTI@._V1_SX300.jpg,7.5,122,,,John Wick Chapter,,2017
"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio",5 wins & 12 nominations.,93381040.0,豪勇七蛟龙,"USA, Australia",,,,"Action, Adventure, Western",tt2404435,,,Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.,https://m.media-amazon.com/images/M/MV5BMTUzNTc0NTAyM15BMl5BanBnXkFtZTgwMTk1ODA5OTE@._V1_SX300.jpg,6.9,132,,,The Magnificent Seven,,2016
"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",Nominated for 1 Oscar. Another 5 wins & 23 nominations.,,木乃伊,USA,,,,"Action, Adventure, Fantasy",tt0120616,,,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreck havoc as he searches for the reincarnation of his long-lost love.",https://m.media-amazon.com/images/M/MV5BOTJiYjBhZDgtMjhiOC00MTIzLThlNGMtMmI1NjIwM2M3YTI5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7.0,124,,,The Mummy,,1999
"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",Nominated for 5 Oscars. Another 38 wins & 99 nominations.,305343264.0,加勒比海盗,USA,,,,"Action, Adventure, Fantasy",tt0325980,,,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",https://m.media-amazon.com/images/M/MV5BNGYyZGM5MGMtYTY2Ni00M2Y1LWIzNjQtYWUzM2VlNGVhMDNhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,8.0,143,,,Pirates Of The Caribbean,,2003
"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",Nominated for 4 Oscars. Another 22 wins & 16 nominations.,,星球大战6,USA,,,,"Action, Adventure, Fantasy, Sci-Fi",tt0086190,,,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,8.3,131,,,Star Wars,,1983
"Jason Statham, Agata Buzek, Vicky McClure, Benedict Wong",,23595.0,蜂鸟,"UK, USA",,,,"Action, Drama",tt1893256,,,A damaged ex-special forces soldier navigating London's criminal underworld seizes an opportunity to assume another man's identity.,https://m.media-amazon.com/images/M/MV5BMjI0ODc3NjI4NV5BMl5BanBnXkFtZTcwOTc3MzI1OQ@@._V1_SX300.jpg,6.2,100,,,Redemption,,2013
"Andrzej Chyra, Maja Ostaszewska, Artur Zmijewski, Danuta Stenka",Nominated for 1 Oscar. Another 14 wins & 12 nominations.,,卡廷惨案,Poland,,,,"Drama, History, War",tt0879843,,,An examination of the Soviet slaughter of thousands of Polish officers and citizens in the Katyn forest in 1940.,https://m.media-amazon.com/images/M/MV5BMjk3ODEzNzIwMl5BMl5BanBnXkFtZTcwMzM5Mjc1MQ@@._V1_SX300.jpg,7.0,121,,,Katyn,,2007
"Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot",2 wins & 13 nominations.,227032496.0,,"USA, Canada, UK",,,,"Action, Adventure, Fantasy, Sci-Fi",tt0974015,,,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",https://m.media-amazon.com/images/M/MV5BYWVhZjZkYTItOGIwYS00NmRkLWJlYjctMWM0ZjFmMDU4ZjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,6.4,120,,,Justice League,,2017
"Jude Law, Raad Rawi, Melissa McCarthy, Jessica Chaffin",Nominated for 2 Golden Globes. Another 6 wins & 27 nominations.,89914424.0,女间谍,"USA, UK, France, Hungary, Germany",,,,"Action, Comedy, Crime",tt3079380,,,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",https://m.media-amazon.com/images/M/MV5BNjI5OTQ0MDQxM15BMl5BanBnXkFtZTgwMzcwNjMyNTE@._V1_SX300.jpg,7.0,120,,,Spy,,2015
"Wesley Snipes, Kris Kristofferson, Dominic Purcell, Jessica Biel",1 nomination.,52400000.0,刀锋战士3,USA,,,,"Action, Adventure, Fantasy, Horror, Sci-Fi",tt0359013,,,"Blade, now a wanted man by the FBI, must join forces with the Nightstalkers to face his most challenging enemy yet: Dracula.",https://m.media-amazon.com/images/M/MV5BMjE0Nzg2MzI3MF5BMl5BanBnXkFtZTYwMjExODQ3._V1_SX300.jpg,5.9,113,,,Blade,,2004
"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport",Won 1 Oscar. Another 43 wins & 53 nominations.,423032640.0,加勒比海盗2.聚魂棺,USA,,,,"Action, Adventure, Fantasy",tt0383574,,,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",https://m.media-amazon.com/images/M/MV5BMTcwODc1MTMxM15BMl5BanBnXkFtZTYwMDg1NzY3._V1_SX300.jpg,7.3,151,,,Pirates of the Caribbean,,2006
"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton",Won 2 Oscars. Another 17 wins & 20 nominations.,,生死时,USA,,,,"Action, Adventure, Thriller",tt0111257,,,A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,https://m.media-amazon.com/images/M/MV5BYjc0MjYyN2EtZGRhMy00NzJiLWI2Y2QtYzhiYTU3NzAxNzg4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7.2,116,,,Speed,,1994
"Karl Urban, Rachel Wood, Andile Mngadi, Porteus Xandau",2 wins & 14 nominations.,13401683.0,新特警判官,"UK, South Africa, USA, India",,,,"Action, Crime, Sci-Fi",tt1343727,,,"In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.",https://m.media-amazon.com/images/M/MV5BODkyNDQzMzUzOF5BMl5BanBnXkFtZTcwODYyMDEyOA@@._V1_SX300.jpg,7.1,95,,,Dredd,,2012
"Johnny Hallyday, Anthony Chau-Sang Wong, Simon Yam, Suet Lam",2 wins & 3 nominations.,,复仇,"Hong Kong, France",,,,"Action, Crime, Thriller",tt1329454,,,"A French chef swears revenge after a violent attack on his daughter's family in Macau, during which her husband and her two children are murdered. To help him find the killers, he hires three local hit-men working for the mafia.",https://m.media-amazon.com/images/M/MV5BNTU4YWQ2NDMtOGI3OC00NzUzLThhMjMtMTM4N2ZmOGUxYTFmXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg,6.5,108,,,Vengeance,,2009
"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith",4 wins & 25 nominations.,,侏罗纪世界,USA,,,,"Action, Adventure, Sci-Fi",tt4881806,,,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",https://m.media-amazon.com/images/M/MV5BNzIxMjYwNDEwN15BMl5BanBnXkFtZTgwMzk5MDI3NTM@._V1_SX300.jpg,6.2,128,,,Jurassic World Fallen Kingdom,,2018
"Justin Theroux, Blanka Györfi-Tóth, Vilma Szécsi, Mila Kunis",3 wins & 4 nominations.,,我的间谍前男友,"Canada, USA, Hungary",,,,"Action, Adventure, Comedy",tt6663582,,,Audrey and Morgan are best friends who unwittingly become entangled in an international conspiracy when one of the women discovers the boyfriend who dumped her was actually a spy.,https://m.media-amazon.com/images/M/MV5BNDY1MTA0NjgyN15BMl5BanBnXkFtZTgwMTEzNDQ4NTM@._V1_SX300.jpg,6.0,117,,,The Spy Who Dumped Me,,2018
"Harry Andrews, Michael Caine, Trevor Howard, Curd Jürgens",Nominated for 1 BAFTA Film Award. Another 1 win.,,不列顛之战,UK,,,,"Action, Drama, History, War",tt0064072,,,"In 1940, the British Royal Air Force fights a desperate battle to prevent the Luftwaffe from gaining air superiority over the English Channel as a prelude to a possible Axis invasion of the U.K.",https://m.media-amazon.com/images/M/MV5BYjY1NmY1MzUtOTgwYy00Mzk0LThkNzgtZGRhNWU4NmFmYzMyL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,7.0,132,,,Battle of Britain,,1969
"Tony Jaa, Sarunyu Wongkrachang, Sorapong Chatree, Primorata Dejudom",1 win & 7 nominations.,,拳霸2,Thailand,,,,Action,tt0785035,,,A young Thai boxer learns the skills and inner meaning of martial arts.,https://m.media-amazon.com/images/M/MV5BMjIzMjM2NDAwNF5BMl5BanBnXkFtZTcwMDU0NjU3Mg@@._V1_SX300.jpg,6.2,98,,,Ong-Bak,,2008
"Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz",5 wins & 23 nominations.,206755536.0,变形金刚4：绝迹重生,"USA, China, Hong Kong",,,,"Action, Adventure, Sci-Fi",tt2109248,,,"When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.",https://m.media-amazon.com/images/M/MV5BMjEwNTg1MTA5Nl5BMl5BanBnXkFtZTgwOTg2OTM4MTE@._V1_SX300.jpg,5.6,165,,,Transformers,,2014
